sample_name	location	treatment	sample_type
SRR23820843	L1	PE	sediment
SRR23820844	L1	PE	sediment
SRR23820845	L1	PE	sediment
SRR23820846	L1	PS	sediment
SRR23820847	L1	PS	sediment
SRR23820848	L1	PS	sediment
SRR23820849	L1	control	sediment
SRR23820850	L1	control	sediment
SRR23820851	L1	control	sediment
SRR23820852	L1	PE	water
SRR23820853	L1	PE	water
SRR23820854	L1	PE	water
SRR23820855	L1	PS	water
SRR23820856	L1	PS	water
SRR23820857	L1	PS	water
SRR23820858	L1	control	water
SRR23820859	L1	control	water
SRR23820860	L1	control	water
SRR23820861	L1	PE	sediment
SRR23820862	L1	PS	sediment
SRR23820863	L1	control	sediment
SRR23820864	L1	PE	water
SRR23820865	L1	PS	water
